"pers_no","date","organizational_unit","location","pers_count","years"
3344,2015-09-01,"Human Resources","Sydney",1,2015
3345,2015-09-01,"Production Support","Brisbane",1,2015
3346,2015-09-01,"UPM QG3","Brisbane",1,2015
3346,2015-09-01,"UPM QG3","Brisbane",1,2015
3347,2015-09-14,"Business Services","Adelaide",1,2015
3348,2015-09-21,"Batch & Furnace","Melbourne",1,2015
3349,2015-10-06,"Business Services","Adelaide",1,2015
3350,2015-09-28,"O-I Melbourne Plant","Melbourne",1,2015
3350,2015-09-28,"Batch & Furnace","Melbourne",1,2015
3351,2015-09-14,"UPM3","Melbourne",1,2015
3351,2015-09-14,"Manufacturing","Melbourne",1,2015
3352,2015-10-06,"Facilities Advancement","Melbourne",1,2015
3353,2015-10-06,"Human Resources O-I Asia Pacific","Melbourne",1,2015
3353,2015-10-06,"Human Resources O-I Asia Pacific","Melbourne",1,2015
3353,2015-10-06,"Human Resources O-I Asia Pacific","Melbourne",1,2015
3354,2015-09-21,"Plant Reliability","Melbourne",1,2015
3355,2015-10-19,"Forming Maintenance","Brisbane",1,2015
3356,2015-10-19,"Distribution - Queensland","Brisbane",1,2015
3357,2015-10-19,"UPM3 C Shift","Melbourne",1,2015
3358,2015-10-26,"Pack Centre","Melbourne",1,2015
3359,2015-09-16,"Commercial","Melbourne",1,2015
3359,2015-09-16,"Commercial","Melbourne",1,2015
3359,2015-09-16,"Commercial Accounting","Melbourne",1,2015
3359,2015-09-16,"Commercial Accounting","Melbourne",1,2015
3359,2015-09-16,"Commercial Accounting","Melbourne",1,2015
3359,2015-09-16,"Shared Services","Melbourne",1,2015
3359,2015-09-16,"Project Quantum","Melbourne",1,2015
3359,2015-09-16,"Quantum_RTR","Melbourne",1,2015
3361,2015-10-05,"Shared Services","Melbourne",1,2015
3361,2015-10-05,"Shared Services","Melbourne",1,2015
3361,2015-10-05,"Accounts Payable","Melbourne",1,2015
3362,2015-09-30,"Business Services","Brisbane",1,2015
3362,2015-09-30,"Human Resources","Brisbane",1,2015
3363,2015-10-05,"Plant Engineering","Melbourne",1,2015
3363,2015-10-05,"Electrical Engineering","Melbourne",1,2015
3364,2015-10-12,"O-I Sydney Plant","Sydney",1,2015
3364,2015-10-12,"MISC - Cleanup","Sydney",1,2015
3365,2015-10-12,"Service Desk AP","Melbourne",1,2015
3366,2015-10-19,"Human Resources O-I Asia Pacific","Melbourne",1,2015
3366,2015-10-19,"Human Resources O-I Asia Pacific","Melbourne",1,2015
3366,2015-10-19,"Human Resources O-I Asia Pacific","Melbourne",1,2015
3367,2015-06-01,"O-I Australia","Melbourne",1,2015
3367,2015-06-01,"O-I Australia","Melbourne",1,2015
3368,2015-11-02,"National Planning","Adelaide",1,2015
3368,2015-11-02,"National Planning","Adelaide",1,2015
3368,2015-11-02,"ANZ Planning","Adelaide",1,2015
3369,2015-11-09,"Procurement","Melbourne",1,2015
3370,2015-11-09,"Plant Engineering","Melbourne",1,2015
3370,2015-11-09,"Mechanical Engineering","Melbourne",1,2015
3371,2015-11-23,"Plant Reliability","Brisbane",1,2015
3372,2015-11-12,"Monthly Reporting and Planning","Melbourne",1,2015
3373,2015-11-16,"Business Services","Sydney",1,2015
3373,2015-11-16,"Commercial Logistics","Sydney",1,2015
3373,2015-11-16,"Procurement Administration","Sydney",1,2015
3373,2015-11-16,"Procurement Administration","Sydney",1,2015
3374,2015-12-01,"Operational Advancement","Melbourne",1,2015
3375,2015-12-01,"Operational Advancement","Melbourne",1,2015
3377,2016-01-11,"Mould Repair","Sydney",1,2016
3378,2016-01-11,"Human Resources","Brisbane",1,2016
3378,2016-01-11,"Human Resources Brisbane","Brisbane",1,2016
3379,2016-01-04,"Distribution - Queensland","Brisbane",1,2016
3380,2016-01-04,"Business Services","Sydney",1,2016
3380,2016-01-04,"Business Services","Sydney",1,2016
3380,2016-01-04,"Plant Controls Sydney","Sydney",1,2016
3381,2016-01-11,"Plant Reliability Sydney","Sydney",1,2016
3383,2016-02-01,"Pack Centre","Melbourne",1,2016
3384,2016-02-01,"Pack Centre","Melbourne",1,2016
3385,2016-01-18,"Regional Quality","Adelaide",1,2016
3386,2016-02-01,"Wine Segment","Adelaide",1,2016
3387,2016-02-08,"O-I Adelaide Plant","Adelaide",1,2016
3388,2016-02-01,"Integrated Systems and Risk","Melbourne",1,2016
3388,2016-02-01,"Shift D","Melbourne",1,2016
3388,2016-02-01,"Shift D","Melbourne",1,2016
3389,2016-02-01,"Manufacturing","Sydney",1,2016
3389,2016-02-01,"Manufacturing","Sydney",1,2016
3390,2016-02-01,"Business Planning","Melbourne",1,2016
3390,2016-02-01,"Business Planning","Melbourne",1,2016
3391,2016-02-15,"Pack Centre","Melbourne",1,2016
3391,2016-02-15,"Shift E","Melbourne",1,2016
3392,2016-02-22,"A Shift","Brisbane",1,2016
3393,2016-02-24,"Integrated Systems and Risk","Brisbane",1,2016
3393,2016-02-24,"EH&S","Brisbane",1,2016
3393,2016-02-24,"EH&S Brisbane","Brisbane",1,2016
