"pers_no","action_type","reason_for_action","company_code","company_code_1","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","start_date_action","end_date_action","organizational_key","position","date"
10000642,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1160,"NZ Inspect","Finished Products B Shift","10/02/2014","2/08/2014","","Multi-Skilled Operator Trainee","10/02/2014"
10000644,"Hire Employee","",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1130,"NZ Forming","Forming D Shift","10/02/2014","5/04/2014","","Bottle Machine Operator Grade 3","10/02/2014"
10000645,"Hire Employee","New position",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1580,"NZ Warehousing","Supply Chain","3/03/2014","31/05/2017","","Warehouse & Distribution Manager","3/03/2014"
10000646,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1270,"NZ Manufacturing","Unit Plant Management","14/04/2014","26/09/2014","","Line Manager","14/04/2014"
10000646,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1270,"NZ Manufacturing","Manufacturing","1/04/2016","31/12/9999","","Plant Manager","1/04/2016"
10000646,"Rehire","No reason specified",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1270,"NZ Manufacturing","Manufacturing","1/04/2016","31/12/9999","Manufacturing & Engineering","Plant Manager","1/04/2016"
10000647,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Staff","New Zealand Day",1365,"NZ Marketing","Marketing","5/05/2014","31/03/2015","","Industry Marketing manager","5/05/2014"
10000648,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1130,"NZ Forming","Forming C Shift","19/05/2014","2/08/2014","","Bottle Machine Operator Grade 3","19/05/2014"
10000649,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1160,"NZ Inspect","Finished Products D Shift","26/05/2014","7/06/2014","","Multi-Skilled Operator Trainee","26/05/2014"
10000650,"Hire Employee","Fill vacancy",1010,"ACI Operations NZ Limited","Auckland - GPNZ - Wages","Shift Glass",1130,"NZ Forming","Forming B Shift","26/05/2014","7/06/2014","","Bottle Machine Operator Grade 3","26/05/2014"
