"pers_no","action_type","reason_for_action","co_cd","company_code","personnel_area","personnel_subarea","cost_ctr","cost_center","organizational_unit","date","turnover","turn_abs"
90003190,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10130,"JKT Forming","Line 14 Shift A","1/09/2014",1,1
90003191,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 21 Shift B","1/09/2014",1,1
90003191,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10130,"JKT Forming","Line 21 Shift B","1/09/2014",1,1
90003192,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 21 Shift C","1/09/2014",1,1
90003192,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10130,"JKT Forming","Line 21 Shift C","1/09/2014",1,1
90003193,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 21 Shift D","1/09/2014",1,1
90003193,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10130,"JKT Forming","Line 21 Shift D","1/09/2014",1,1
90003194,"Hire Employee","New position",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10360,"JKT Sale & Marketing","Marketing & Sales","1/10/2014",1,1
90003195,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10270,"JKT Manufacturing","Production Planning Inventory Control","1/11/2014",1,1
90003195,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10270,"JKT Manufacturing","Logistic & PPIC","1/11/2014",1,1
90003195,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Staff","Jkta Day No Awd",10570,"JKT Distribution","Planning","1/11/2014",1,1
90003196,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10130,"JKT Forming","Line 21 Shift A","1/11/2014",1,1
90003197,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 24 Shift B","1/11/2014",1,1
90003198,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 22 Shift D","1/11/2014",1,1
90003199,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Day Glass",10130,"JKT Forming","Line 24 Shift C","1/12/2014",1,1
90003199,"Hire Employee","Fill vacancy",1020,"PT Kangar Consol. Indust.","Indonesia Jakarta Wages","Jkta Shft Glass",10130,"JKT Forming","Line 24 Shift C","1/12/2014",1,1
