Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr code,Cost Center,Organizational Unit,Date,Turnover,TurnABS
00000444,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,B Shift,10/05/2003,-1,1
00000446,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,1/02/2003,-1,1
00000447,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,11/07/2010,-1,1
00000450,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,B Shift,25/01/2002,-1,1
00000452,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,B Shift,22/07/2006,-1,1
00000453,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9003,SYD Shift 3,C Shift,13/11/2013,-1,1
00000454,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9003,SYD Shift 3,C Shift,13/11/2013,-1,1
00000455,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9330,SYD Procurement,Business Services,15/09/2006,-1,1
00000458,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,15/11/2013,-1,1
00000460,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9060,SYD Integrated Syste,O-I Sydney Plant,12/04/2017,-1,1
00000462,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Engineering,15/01/2000,-1,1
