Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action,End date Action,Organizational Key,Position,Date,Time in role
2258,Promotion,Transfer,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5260,ADE Plant Reliabilit,Reliability,1/12/2011,14/01/2019,Manufacturing & Engineering,Maintenance Planner,24/02/2003,2601
2258,Transfer,Transfer,1000,ACI Operations Pty Ltd,SA - GPA - Staff,Adelaide Day,5030,ADE Unit PlntMrg AD6,Reliability,15/01/2019,1/08/2019,Manufacturing & Engineering,Reliability Manager,24/02/2003,198
2259,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Day,5140,ADE Job Change,Job Change,1/07/2013,1/08/2019,Manufacturing & Engineering,Job Change Team Member,10/03/2003,2222
2260,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6210,BNE Mould Repair,Mould Repair,1/07/2013,1/08/2019,Manufacturing & Engineering,Fitter,4/01/1999,2222
2260,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Day,6210,BNE Mould Repair,Mould Repair,2/07/2018,1/08/2019,Manufacturing & Engineering,Lead Hand Fitter,4/01/1999,395
2262,Promotion,Promotion,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,7020,MEL Unit PlntMrg MB3,Unit Plant Management Tank 3,31/03/2013,24/08/2014,,Unit Plant Manager 3,31/03/2003,511
2262,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4490,GOSC Oper Advance,Glass and Materials Advancement,25/08/2014,31/08/2015,,Batch and Furnace Support Manager,31/03/2003,371
2262,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4490,GOSC Oper Advance,Operational Advancement,1/09/2015,25/06/2017,,Regional Colour Change Network Manager,31/03/2003,663
2262,Transfer,Transfer,1000,ACI Operations Pty Ltd,QLD - GPA - Staff,Brisbane Day,4310,OIAP Other COS,Brisbane Cullet,26/06/2017,30/11/2018,Manufacturing & Engineering,Cullet Plant Manager,31/03/2003,522
2262,Transfer,Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4460,GOSC Fac Adv Eng,Regional Engineering,1/12/2018,1/08/2019,Manufacturing & Engineering,Project Manager,31/03/2003,243
2264,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5815,ADE AD52 MachineLine,B Shift,1/07/2013,17/02/2019,Manufacturing & Engineering,G7 Line Leader,6/04/2003,2057
2264,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5815,ADE AD52 MachineLine,Shift B,19/02/2018,1/08/2019,Manufacturing & Engineering,Line Leader,6/04/2003,528
2271,Transfer,Transfer,1000,ACI Operations Pty Ltd,VIC Glass Expatriate,Jakarta,4296,OIAP Expatriates,O-I Asia Pacific,1/04/2013,1/08/2019,Manufacturing & Engineering,Production Support Manager,22/04/2003,2313
2274,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,C Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,MULTI SKILLED OPERATOR,26/05/2003,2216
2275,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5814,ADE AD51 MachineLine,A Shift,1/07/2013,17/02/2019,Manufacturing & Engineering,G4 Multi Skilled Operator,26/05/2003,2057
2275,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5814,ADE AD51 MachineLine,Shift A,19/02/2018,1/08/2019,Manufacturing & Engineering,Multi Skilled Operator,26/05/2003,528
2278,Promotion,Transfer,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,4375,AU Sales & Marketing,Category Sales Beer,18/01/2010,1/08/2019,Commercial,Key Account Manager,2/06/2003,3482
2279,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7816,MEL MB42 MachineLine,UPM4 E Shift,1/07/2013,17/12/2015,,G5 Process Specialist,7/07/2003,899
2280,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7240,MEL Maint - Machine,IS Repair,1/07/2013,1/08/2019,Manufacturing & Engineering,C5 Fitter,9/07/2003,2222
2282,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,B Shift,7/07/2013,1/08/2019,Manufacturing & Engineering,LINE LEADER,23/07/2003,2216
2290,Promotion,Promotion,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne Day,4290,APAC HR & Training,National Payroll,1/10/2010,1/08/2019,Human Resources,National Payroll Manager,1/09/2003,3226
2294,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Information Technology,1/03/2010,7/07/2014,,General Manager IT Asia Pacific,1/09/2003,1589
2296,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5815,ADE AD52 MachineLine,D Shift,1/07/2013,17/02/2019,Manufacturing & Engineering,G7 Line Leader,8/09/2003,2057
2296,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5815,ADE AD52 MachineLine,Shift D,19/02/2018,1/08/2019,Manufacturing & Engineering,Line Leader,8/09/2003,528
2298,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6812,BNE QG31 MachineLine,A Shift,1/07/2013,1/01/2017,,PRODUCTION OPERATOR A SHIFT,1/10/2003,1280
2298,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6812,BNE QG31 MachineLine,Unit Plant QG31,6/07/2015,1/08/2019,Manufacturing & Engineering,PRODUCTION OPERATOR B SHIFT,1/10/2003,1487
2299,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,SA - GPA - Wages,Adelaide Shift,5100,ADE Batch,Batch and Furnace,1/07/2013,1/08/2019,Manufacturing & Engineering,Furnace Operator,22/09/2003,2222
2301,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4375,AU Sales & Marketing,Customer Services,1/07/2013,1/08/2019,Commercial,Customer Service Representative,29/09/2003,2222
2306,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBDAU,4300,OI Financial Opers,Management Accounting,4/12/2007,1/08/2019,Finance,Management Accountant,19/10/1987,4258
2314,Rehire,New position,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4431,PPG Regional Reports,Admin and Facilities O-I Asia Pacific,27/11/2004,1/08/2019,Administration & Facilities,Receptionist,27/11/2004,5360
2317,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7210,MEL Mould Repair,Mould Repair,1/07/2013,1/07/2018,,C8 Fitter,12/01/2004,1826
2317,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7210,MEL Mould Repair,Team A,3/07/2017,1/08/2019,Manufacturing & Engineering,C7 Fitter,12/01/2004,759
2318,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,QLD - GPA - Wages,Brisbane Shift,6100,BNE Batch,Batch & Furnace,1/07/2013,3/09/2018,Manufacturing & Engineering,Melt Operator,12/01/2004,1890
2321,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7260,MEL Plant Reliabilit,General Maintenace,1/07/2013,1/08/2019,Manufacturing & Engineering,C6 Fitter,19/01/2004,2222
2324,Promotion,Transfer,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4460,GOSC Fac Adv Eng,Plant Engineering,1/07/2013,30/09/2014,,Process Control Engineer,19/01/2004,456
2324,Promotion,Promotion,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4460,GOSC Fac Adv Eng,Plant Engineering,1/10/2014,28/02/2017,,Senior Process Control Engineer,19/01/2004,881
2324,Promotion,Promotion,1000,ACI Operations Pty Ltd,VIC - GPA - Staff,Melbourne CBD,4450,GOSC Facility Advanc,Regional Engineering,1/03/2017,1/08/2019,Manufacturing & Engineering,Project Manager,19/01/2004,883
2326,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,7/07/2013,1/07/2018,,Fitter,19/01/2004,1820
2326,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,3/07/2017,1/08/2019,Manufacturing & Engineering,Mechanical Trades Special Class,19/01/2004,759
2337,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Day,7140,MEL Job Change,Hot End Job Change Team,1/07/2013,1/08/2019,Manufacturing & Engineering,Hot End Specialist,23/02/2004,2222
2338,Change in pay,Pay scale increase,1000,ACI Operations Pty Ltd,VIC - GPA - Wages,Melbourne Shift,7180,MEL Audit,Shift A,1/07/2013,1/08/2019,Manufacturing & Engineering,G4 Multi Skilled Operator,23/02/2004,2222
