"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
3565,"Hire Employee","Fill vacancy","Shared Services",2017-10-09,1,1,"Melbourne",2017
3565,"Hire Employee","Fill vacancy","Shared Services",2017-10-09,1,1,"Melbourne",2017
3566,"Hire Employee","New position","Human Resources Brisbane",2017-10-09,1,1,"Brisbane",2017
3566,"Hire Employee","New position","Human Resources Brisbane",2017-10-09,1,1,"Brisbane",2017
3567,"Hire Employee","New position","Strategy and Integration O-I AP",2017-10-09,1,1,"Melbourne",2017
3567,"Hire Employee","New position","Communications",2017-10-09,1,1,"Melbourne",2017
3567,"Hire Employee","New position","Communications",2017-10-09,1,1,"Melbourne",2017
3568,"Hire Employee","Fill vacancy","O-I Brisbane Plant",2017-10-04,1,1,"Brisbane",2017
3569,"Hire Employee","Fill vacancy","Shift D",2017-10-09,1,1,"Melbourne",2017
3570,"Hire Employee","New position","Mould Repair",2017-10-09,1,1,"Brisbane",2017
3571,"Hire Employee","Fill vacancy","Unit Plant QG12",2017-10-09,1,1,"Brisbane",2017
3572,"Hire Employee","New position","Pack Centre",2017-10-09,1,1,"Sydney",2017
3573,"Hire Employee","Fill vacancy","Electrical Maintenance",2017-10-16,1,1,"Melbourne",2017
3573,"Hire Employee","Fill vacancy","Electrical Maintenance",2017-10-16,1,1,"Melbourne",2017
3574,"Hire Employee","New position","ANZ Logistics",2017-10-09,1,1,"Melbourne",2017
3575,"Hire Employee","New position","Strategy and Integration O-I AP",2017-10-16,1,1,"Melbourne",2017
3575,"Hire Employee","New position","Strategy and PMO",2017-10-16,1,1,"Melbourne",2017
3576,"Hire Employee","Fill vacancy","Occupational Health & Safety",2017-10-16,1,1,"Melbourne",2017
3577,"Hire Employee","Fill vacancy","Plant Reliability",2017-10-23,1,1,"Brisbane",2017
3578,"Hire Employee","New position","ANZ Planning",2017-10-23,1,1,"Melbourne",2017
3579,"Hire Employee","Fill vacancy","C Shift",2017-11-13,1,1,"Adelaide",2017
3579,"Hire Employee","Fill vacancy","UPM",2017-11-13,1,1,"Adelaide",2017
3580,"Hire Employee","Fill vacancy","ANZ Planning",2017-10-16,1,1,"Melbourne",2017
3581,"Hire Employee","Fill vacancy","Plant Maintenance",2017-10-30,1,1,"Brisbane",2017
3582,"Hire Employee","Fill vacancy","Project Quantum",2017-10-30,1,1,"Melbourne",2017
3582,"Hire Employee","Fill vacancy","Quantum_PTP",2017-10-30,1,1,"Melbourne",2017
3583,"Hire Employee","Fill vacancy","EH&S Brisbane",2017-11-13,1,1,"Brisbane",2017
3584,"Hire Employee","Fill vacancy","O-I Operations",2017-10-30,1,1,"Melbourne",2017
3584,"Hire Employee","Fill vacancy","Regional EHS",2017-10-30,1,1,"Melbourne",2017
3585,"Hire Employee","Fill vacancy","Accounts Payable",2017-11-15,1,1,"Melbourne",2017
3586,"Hire Employee","Fill vacancy","Unit Plant QG3",2017-11-15,1,1,"Brisbane",2017
3587,"Hire Employee","Fill vacancy","Occupational Health & Safety",2017-12-04,1,1,"Melbourne",2017
3588,"Hire Employee","Fill vacancy","ANZ Finance",2017-12-04,1,1,"Melbourne",2017
3588,"Hire Employee","Fill vacancy","ANZ Finance",2017-12-04,1,1,"Melbourne",2017
3589,"Hire Employee","Fill vacancy","Shift C",2017-12-04,1,1,"Melbourne",2017
3590,"Hire Employee","Fill vacancy","Brisbane Cullet",2017-11-20,1,1,"Brisbane",2017
3591,"Hire Employee","New position","Regional Engineering",2017-12-07,1,1,"Melbourne",2017
3592,"Hire Employee","New position","Change Management",2017-12-11,1,1,"Melbourne",2017
3593,"Hire Employee","Fill vacancy","D Shift",2017-12-11,1,1,"Adelaide",2017
3594,"Hire Employee","Fill vacancy","A Shift",2017-12-11,1,1,"Adelaide",2017
3595,"Hire Employee","Fill vacancy","Shift B",2017-12-11,1,1,"Melbourne",2017
3596,"Hire Employee","New position","Strategic Sourcing and Demand",2017-12-11,1,1,"Adelaide",2017
3597,"Hire Employee","New position","Strategic Sourcing and Demand",2018-01-08,1,1,"Sydney",2018
3598,"Hire Employee","Fill vacancy","",2018-01-16,1,1,"Melbourne",2018
3598,"Hire Employee","Fill vacancy","Regional Quality",2018-01-16,1,1,"Melbourne",2018
3599,"Hire Employee","New position","Strategy and PMO",2017-12-07,1,1,"Melbourne",2017
3599,"Hire Employee","New position","Quantum_IT",2017-12-07,1,1,"Melbourne",2017
3600,"Hire Employee","Fill vacancy","C Shift",2018-01-02,1,1,"Adelaide",2018
3601,"Hire Employee","Fill vacancy","IS Repair",2018-01-03,1,1,"Brisbane",2018
3602,"Hire Employee","New position","Brisbane Cullet",2017-12-20,1,1,"Brisbane",2017
3603,"Hire Employee","Non SAP company transfer","Batch & Furnace",2018-01-08,1,1,"Melbourne",2018
3604,"Hire Employee","Non SAP company transfer","Management Accounting",2018-01-02,1,1,"Melbourne",2018
3605,"Hire Employee","New position","Award & HRIS",2018-01-16,1,1,"Melbourne",2018
3606,"Hire Employee","New position","PMO&Quantum",2018-01-08,1,1,"Melbourne",2018
3606,"Hire Employee","New position","Quantum_RTP",2018-01-08,1,1,"Melbourne",2018
3607,"Hire Employee","Fill vacancy","Supply Chain O-I Asia Pacific",2018-02-01,1,1,"Melbourne",2018
3608,"Hire Employee","New position","E Shift",2018-02-05,1,1,"Adelaide",2018
3609,"Hire Employee","Fill vacancy","Process Improvement",2018-02-05,1,1,"Melbourne",2018
3610,"Hire Employee","Fill vacancy","Shift D",2018-02-05,1,1,"Melbourne",2018
3610,"Hire Employee","Fill vacancy","Shift D",2018-02-05,1,1,"Melbourne",2018
3611,"Hire Employee","New position","Job Change",2018-02-12,1,1,"Adelaide",2018
3612,"Hire Employee","Fill vacancy","Human Resources Shared Services",2018-02-14,1,1,"Melbourne",2018
3613,"Hire Employee","New position","Plant Controls Sydney",2018-02-05,1,1,"Sydney",2018
3614,"Hire Employee","Fill vacancy","Regional Procurement",2018-02-26,1,1,"Melbourne",2018
3614,"Hire Employee","Fill vacancy","Regional Procurement",2018-02-26,1,1,"Melbourne",2018
3615,"Hire Employee","Fill vacancy","Human Resources Business Partnering",2018-03-13,1,1,"Adelaide",2018
3615,"Hire Employee","Fill vacancy","Human Resources",2018-03-13,1,1,"Adelaide",2018
3616,"Hire Employee","Fill vacancy","Plant Reliability Sydney",2018-02-06,1,1,"Sydney",2018
3616,"Hire Employee","Fill vacancy","Plant Mechanical Sydney",2018-02-06,1,1,"Sydney",2018
3616,"Hire Employee","Fill vacancy","Plant Mechanical Sydney",2018-02-06,1,1,"Sydney",2018
3617,"Hire Employee","New position","Quantum_OTC",2018-03-01,1,1,"Melbourne",2018
3618,"Hire Employee","Fill vacancy","Shared Services",2018-02-19,1,1,"Melbourne",2018
3619,"Hire Employee","New position","Customer Services",2018-03-05,1,1,"Melbourne",2018
3619,"Hire Employee","New position","Customer Services",2018-03-05,1,1,"Melbourne",2018
3620,"Hire Employee","Fill vacancy","Pricing O-I Asia Pacific",2018-03-01,1,1,"Melbourne",2018
3621,"Hire Employee","Fill vacancy","O-I Sydney Plant",2018-02-02,1,1,"Sydney",2018
3622,"Hire Employee","Fill vacancy","Human Resources Business Partnering",2018-03-13,1,1,"Melbourne",2018
3622,"Hire Employee","Fill vacancy","Human Resources Business Partnering",2018-03-13,1,1,"Melbourne",2018
3623,"Hire Employee","Fill vacancy","Customer Technical Services",2018-04-09,1,1,"Sydney",2018
3623,"Hire Employee","Fill vacancy","Technical Services",2018-04-09,1,1,"Sydney",2018
3624,"Hire Employee","Fill vacancy","Manufacturing",2018-03-13,1,1,"Melbourne",2018
3625,"Hire Employee","Fill vacancy","SPOTS ACCOUNTANT",2018-04-04,1,1,"Melbourne",2018
3626,"Hire Employee","New position","Quantum_IT",2018-03-29,1,1,"Melbourne",2018
3627,"Hire Employee","New position","Supply Chain O-I Asia Pacific",2018-04-03,1,1,"Melbourne",2018
3629,"Hire Employee","New position","Plant Reliability Sydney",2018-04-03,1,1,"Sydney",2018
3630,"Hire Employee","Non SAP company transfer","Customer Technical Services",2018-04-01,1,1,"Melbourne",2018
3630,"Hire Employee","Non SAP company transfer","Customer Technical Services",2018-04-01,1,1,"Melbourne",2018
3630,"Hire Employee","Non SAP company transfer","Customer Technical Services",2018-04-01,1,1,"Melbourne",2018
3630,"Hire Employee","Non SAP company transfer","Customer Technical Services",2018-04-01,1,1,"Melbourne",2018
3631,"Hire Employee","Fill vacancy","Distribution - Queensland",2018-03-26,1,1,"Brisbane",2018
3632,"Hire Employee","Fill vacancy","Regional Procurement",2018-04-10,1,1,"Melbourne",2018
3632,"Hire Employee","Fill vacancy","Regional Procurement",2018-04-10,1,1,"Melbourne",2018
3633,"Hire Employee","Fill vacancy","ANZ Planning",2018-04-03,1,1,"Melbourne",2018
3634,"Hire Employee","Fill vacancy","Plant Maintenance",2018-04-03,1,1,"Brisbane",2018
3635,"Hire Employee","Fill vacancy","D Shift",2018-04-03,1,1,"Adelaide",2018
3635,"Hire Employee","Fill vacancy","D Shift",2018-04-03,1,1,"Adelaide",2018
3635,"Hire Employee","Fill vacancy","Shift C",2018-04-03,1,1,"Adelaide",2018
3635,"Hire Employee","Fill vacancy","Shift C",2018-04-03,1,1,"Adelaide",2018
3636,"Hire Employee","Fill vacancy","Human Resources Business Partnering",2018-04-16,1,1,"Sydney",2018
3637,"Hire Employee","Fill vacancy","ANZ Logistics",2018-04-09,1,1,"Adelaide",2018
3638,"Hire Employee","Fill vacancy","Unit Plant QG31",2018-04-09,1,1,"Brisbane",2018
3639,"Hire Employee","Fill vacancy","ANZ Logistics",2018-05-01,1,1,"Melbourne",2018
3640,"Hire Employee","New position","Business Controlling",2018-04-18,1,1,"Melbourne",2018
3640,"Hire Employee","New position","Business Controlling",2018-04-18,1,1,"Melbourne",2018
3641,"Hire Employee","New position","Strategic Sourcing",2018-05-14,1,1,"Melbourne",2018
3641,"Hire Employee","New position","Strategic Sourcing",2018-05-14,1,1,"Melbourne",2018
3641,"Hire Employee","New position","Strategic Sourcing",2018-05-14,1,1,"Melbourne",2018
3642,"Hire Employee","Fill vacancy","Shared Services",2018-04-30,1,1,"Melbourne",2018
3643,"Hire Employee","Fill vacancy","Monthly Reporting and Planning",2018-04-16,1,1,"Melbourne",2018
3644,"Hire Employee","New position","Regional Engineering",2018-04-01,1,1,"Melbourne",2018
3645,"Hire Employee","New position","Change Management",2018-04-30,1,1,"Melbourne",2018
3647,"Hire Employee","Fill vacancy","Plant Controls Brisbane",2018-06-11,1,1,"Brisbane",2018
3647,"Hire Employee","Fill vacancy","Plant Controls Brisbane",2018-06-11,1,1,"Brisbane",2018
3648,"Hire Employee","Fill vacancy","Shift D",2018-05-28,1,1,"Melbourne",2018
3649,"Hire Employee","Fill vacancy","Procurement Administration",2018-06-12,1,1,"Melbourne",2018
3650,"Hire Employee","Fill vacancy","Unit Plant QG33",2018-06-04,1,1,"Brisbane",2018
3651,"Hire Employee","Fill vacancy","Unit Plant QG33",2018-06-04,1,1,"Brisbane",2018
3652,"Hire Employee","Fill vacancy","Cold End Job Change",2018-06-12,1,1,"Melbourne",2018
3653,"Hire Employee","Fill vacancy","Job Change",2018-06-25,1,1,"Sydney",2018
3654,"Hire Employee","Fill vacancy","IT Operations",2018-07-02,1,1,"Melbourne",2018
3655,"Hire Employee","Fill vacancy","Unit Plant QG3",2018-06-18,1,1,"Brisbane",2018
3656,"Hire Employee","Fill vacancy","Maintenance Planning",2018-06-25,1,1,"Brisbane",2018
3657,"Hire Employee","Fill vacancy","IT Operations",2018-06-25,1,1,"Melbourne",2018
3657,"Hire Employee","Fill vacancy","IT Operations",2018-06-25,1,1,"Melbourne",2018
3658,"Hire Employee","Fill vacancy","Job Change",2018-07-02,1,1,"Sydney",2018
3658,"Hire Employee","Fill vacancy","Job Change",2018-07-02,1,1,"Sydney",2018
3659,"Hire Employee","Fill vacancy","Commercial Logistics",2018-07-16,1,1,"Melbourne",2018
3660,"Hire Employee","Fill vacancy","Shift C",2018-07-16,1,1,"Melbourne",2018
3661,"Hire Employee","Fill vacancy","Operational Performance",2018-07-23,1,1,"Melbourne",2018
3661,"Hire Employee","Fill vacancy","Regional Operations",2018-07-23,1,1,"Melbourne",2018
3662,"Hire Employee","Fill vacancy","Quantum_IT",2018-05-29,1,1,"Melbourne",2018
3662,"Hire Employee","Fill vacancy","Quantum_IT",2018-05-29,1,1,"Melbourne",2018
3663,"Hire Employee","Fill vacancy","IS Repair",2018-07-23,1,1,"Brisbane",2018
3664,"Hire Employee","Fill vacancy","Unit Plant QG15",2018-07-30,1,1,"Brisbane",2018
3665,"Hire Employee","Fill vacancy","Unit Plant QG31",2018-07-30,1,1,"Brisbane",2018
3665,"Hire Employee","Fill vacancy","Unit Plant QG31",2018-07-30,1,1,"Brisbane",2018
3666,"Hire Employee","Fill vacancy","Strategic Sourcing and Demand",2018-08-20,1,1,"Melbourne",2018
3667,"Hire Employee","No reason specified","Mould Repair",2018-08-13,1,1,"Brisbane",2018
3668,"Hire Employee","Fill vacancy","Unit Plant QG15",2018-08-20,1,1,"Brisbane",2018
3669,"Hire Employee","Fill vacancy","Mould Repair",2018-09-03,1,1,"Brisbane",2018
3670,"Hire Employee","New position","Batch & Furnace",2018-08-27,1,1,"Melbourne",2018
3671,"Hire Employee","New position","Batch & Furnace",2018-08-27,1,1,"Melbourne",2018
3672,"Hire Employee","New position","Batch & Furnace",2018-08-27,1,1,"Melbourne",2018
3673,"Hire Employee","Fill vacancy","EH&S Brisbane",2018-09-17,1,1,"Brisbane",2018
3674,"Hire Employee","Fill vacancy","Glass and Materials Advancement",2018-09-17,1,1,"Melbourne",2018
3674,"Hire Employee","Fill vacancy","Glass and Materials Advancement",2018-09-17,1,1,"Melbourne",2018
3675,"Hire Employee","Fill vacancy","Cold End Job Change",2018-10-15,1,1,"Melbourne",2018
3676,"Hire Employee","Fill vacancy","Procurement Administration",2018-10-29,1,1,"Melbourne",2018
3677,"Hire Employee","Fill vacancy","Production Line Management 1",2018-10-29,1,1,"Sydney",2018
3677,"Hire Employee","Fill vacancy","Production Line Management 1",2018-10-29,1,1,"Sydney",2018
3678,"Hire Employee","Fill vacancy","Shift C",2018-10-18,1,1,"Melbourne",2018
3679,"Hire Employee","Fill vacancy","Customer Technical Services",2018-10-29,1,1,"Brisbane",2018
3680,"Hire Employee","New position","Batch & Furnace",2018-11-05,1,1,"Melbourne",2018
3681,"Hire Employee","New position","Adelaide Plant",2018-11-19,1,1,"Adelaide",2018
3682,"Hire Employee","Fill vacancy","Adelaide Plant",2018-11-19,1,1,"Adelaide",2018
3683,"Hire Employee","New position","Adelaide Plant",2018-11-19,1,1,"Adelaide",2018
3684,"Hire Employee","Fill vacancy","Logistics",2018-12-04,1,1,"Melbourne",2018
3685,"Hire Employee","Fill vacancy","Plant Maintenance",2018-12-03,1,1,"Brisbane",2018
3685,"Hire Employee","Fill vacancy","Plant Maintenance",2018-12-03,1,1,"Brisbane",2018
3686,"Hire Employee","New position","Electrical Services",2018-12-10,1,1,"Brisbane",2018
3686,"Hire Employee","New position","Electrical Services",2018-12-10,1,1,"Brisbane",2018
3687,"Hire Employee","Fill vacancy","Mould Repair",2018-12-17,1,1,"Brisbane",2018
3688,"Hire Employee","Fill vacancy","Plant Electrical Sydney",2019-01-07,1,1,"Sydney",2019
3689,"Hire Employee","Fill vacancy","Management Accounting",2018-12-17,1,1,"Melbourne",2018
3690,"Hire Employee","Fill vacancy","Adelaide Plant",2004-01-08,1,1,"Adelaide",2004
3691,"Hire Employee","Fill vacancy","Electrical Maintenance",2019-01-07,1,1,"Melbourne",2019
3692,"Hire Employee","New position","Shift B",2019-01-14,1,1,"Melbourne",2019
3693,"Hire Employee","Fill vacancy","O-I Melbourne Plant",2019-01-21,1,1,"Melbourne",2019
3694,"Hire Employee","Fill vacancy","Change Management",2019-01-14,1,1,"Melbourne",2019
3694,"Hire Employee","Fill vacancy","Change Management",2019-01-14,1,1,"Melbourne",2019
3695,"Hire Employee","Fill vacancy","Process Improvement",2019-02-04,1,1,"Melbourne",2019
3696,"Hire Employee","Fill vacancy","Plant Maintenance",2019-01-30,1,1,"Brisbane",2019
3696,"Hire Employee","Fill vacancy","Electrical Services",2019-01-30,1,1,"Brisbane",2019
3697,"Hire Employee","Fill vacancy","Human Resources Brisbane",2019-02-04,1,1,"Brisbane",2019
3698,"Hire Employee","Fill vacancy","Shift C",2019-02-04,1,1,"Adelaide",2019
3699,"Hire Employee","Fill vacancy","Plant Reliability",2019-02-04,1,1,"Brisbane",2019
3699,"Hire Employee","Fill vacancy","Plant Reliability",2019-02-04,1,1,"Brisbane",2019
3700,"Hire Employee","Fill vacancy","Operational Capability",2019-02-25,1,1,"Sydney",2019
3701,"Hire Employee","Fill vacancy","Operational Capability",2019-02-25,1,1,"Brisbane",2019
3702,"Hire Employee","Fill vacancy","Operational Capability",2019-02-25,1,1,"Melbourne",2019
3703,"Hire Employee","Fill vacancy","Operational Capability",2019-02-25,1,1,"Brisbane",2019
3704,"Hire Employee","Fill vacancy","Operational Capability",2019-02-25,1,1,"Adelaide",2019
3705,"Hire Employee","Fill vacancy","Operational Capability",2019-02-25,1,1,"Sydney",2019
3706,"Hire Employee","Fill vacancy","Pricing O-I Asia Pacific",2019-03-04,1,1,"Melbourne",2019
3707,"Hire Employee","Fill temporary absence","Unit Plant Management",2019-02-26,1,1,"Melbourne",2019
3707,"Hire Employee","Fill temporary absence","Shift A",2019-02-26,1,1,"Melbourne",2019
3708,"Hire Employee","Fill temporary absence","Unit Plant Management",2019-02-26,1,1,"Melbourne",2019
3708,"Hire Employee","Fill temporary absence","Unit Plant Management",2019-02-26,1,1,"Melbourne",2019
3709,"Hire Employee","Fill temporary absence","Unit Plant Management",2019-02-26,1,1,"Melbourne",2019
3709,"Hire Employee","Fill temporary absence","Shift A",2019-02-26,1,1,"Melbourne",2019
3710,"Hire Employee","Fill vacancy","General Maintenance",2019-03-04,1,1,"Melbourne",2019
3710,"Hire Employee","Fill vacancy","General Maintenance",2019-03-04,1,1,"Melbourne",2019
3711,"Hire Employee","Fill vacancy","Talent Acquisition",2019-03-04,1,1,"Melbourne",2019
3711,"Hire Employee","Fill vacancy","Talent and Organisational Effectiveness",2019-03-04,1,1,"Melbourne",2019
3712,"Hire Employee","Fill vacancy","Maintenance Planning",2019-03-11,1,1,"Brisbane",2019
3713,"Hire Employee","New position","Electrical Engineering",2019-03-04,1,1,"Melbourne",2019
3714,"Hire Employee","Fill vacancy","Operational Capability",2019-02-25,1,1,"Melbourne",2019
3715,"Hire Employee","Fill temporary absence","Unit Plant Management",2019-02-26,1,1,"Melbourne",2019
3715,"Hire Employee","Fill temporary absence","Unit Plant Management",2019-02-26,1,1,"Melbourne",2019
3716,"Hire Employee","Fill vacancy","Shift C",2019-03-04,1,1,"Melbourne",2019
3717,"Hire Employee","Fill vacancy","Shift E",2019-03-04,1,1,"Melbourne",2019
3718,"Hire Employee","Fill vacancy","Unit Plant QG31",2019-03-11,1,1,"Brisbane",2019
3718,"Hire Employee","Fill vacancy","Unit Plant QG1",2019-03-11,1,1,"Brisbane",2019
3719,"Hire Employee","New position","Learning and Development",2019-04-08,1,1,"Melbourne",2019
3720,"Hire Employee","Fill vacancy","Regional Procurement",2019-04-01,1,1,"Melbourne",2019
3721,"Hire Employee","Fill vacancy","Human Resources",2019-04-08,1,1,"Melbourne",2019
3722,"Hire Employee","Fill vacancy","IS Repair",2019-04-01,1,1,"Melbourne",2019
3723,"Hire Employee","Fill vacancy","Furnace Design",2019-04-15,1,1,"Melbourne",2019
3724,"Hire Employee","Fill vacancy","Pricing O-I Asia Pacific",2019-04-17,1,1,"Melbourne",2019
3725,"Hire Employee","Fill vacancy","Plant Reliability",2019-04-15,1,1,"Brisbane",2019
3726,"Hire Employee","Fill vacancy","Electrical Engineering",2019-04-29,1,1,"Melbourne",2019
3727,"Hire Employee","New position","ANZ Planning",2019-05-01,1,1,"Melbourne",2019
3728,"Hire Employee","Fill vacancy","Cullet",2019-04-29,1,1,"Melbourne",2019
3729,"Hire Employee","Fill vacancy","Financial Planning and Analysis",2019-05-03,1,1,"Melbourne",2019
3730,"Hire Employee","Fill vacancy","Cold End Job Change",2019-04-29,1,1,"Melbourne",2019
3731,"Hire Employee","New position","Maintenance-Cold End",2019-05-06,1,1,"Melbourne",2019
3732,"Hire Employee","Fill vacancy","Strategic Sourcing and Demand",2019-05-20,1,1,"Adelaide",2019
3733,"Hire Employee","Fill vacancy","Electrical Engineering",2019-05-20,1,1,"Melbourne",2019
3734,"Hire Employee","Fill vacancy","IS Repair",2019-05-20,1,1,"Melbourne",2019
3735,"Hire Employee","New position","Logistics",2019-05-27,1,1,"Melbourne",2019
3736,"Hire Employee","Fill vacancy","Reliability",2019-05-20,1,1,"Adelaide",2019
3737,"Hire Employee","Fill vacancy","Pack Centre",2019-06-03,1,1,"Sydney",2019
3738,"Hire Employee","New position","Sales & Marketing O-I Australia",2019-06-11,1,1,"Melbourne",2019
3739,"Hire Employee","New position","Plant Controls Adelaide",2019-06-03,1,1,"Adelaide",2019
3740,"Hire Employee","New position","Plant Controls Brisbane",2019-06-03,1,1,"Brisbane",2019
3741,"Hire Employee","Fill vacancy","Shift C",2019-06-03,1,1,"Adelaide",2019
3742,"Hire Employee","Fill vacancy","Wine Segment",2019-06-01,1,1,"Adelaide",2019
3743,"Hire Employee","Fill vacancy","Batch & Furnace",2019-05-27,1,1,"Melbourne",2019
3744,"Hire Employee","Fill vacancy","Finance O-I Asia Pacific",2019-05-27,1,1,"Melbourne",2019
3745,"Hire Employee","Fill vacancy","Cullet Operations",2019-06-10,1,1,"Brisbane",2019
3746,"Hire Employee","Fill vacancy","Job Change",2019-06-17,1,1,"Sydney",2019
3747,"Hire Employee","New position","Mould Repair",2019-06-19,1,1,"Adelaide",2019
3748,"Hire Employee","Fill vacancy","IT Operations",2019-06-24,1,1,"Melbourne",2019
3749,"Hire Employee","Fill vacancy","IT Operations",2019-07-01,1,1,"Melbourne",2019
3751,"Hire Employee","Fill vacancy","Shift C",2019-06-24,1,1,"Adelaide",2019
90002942,"Hire Employee","Fill vacancy","Line 12 Shift C",2005-05-02,1,1,"Jakarta",2005
90002979,"Hire Employee","Fill vacancy","Marketing & Sales",2006-10-01,1,1,"Jakarta",2006
90002987,"Hire Employee","Fill vacancy","Mould Shop/R & D",2007-01-01,1,1,"Jakarta",2007
90002990,"Hire Employee","Fill vacancy","Mechanical Engineering",2007-03-01,1,1,"Jakarta",2007
90002990,"Hire Employee","Fill vacancy","Mechanical Engineering",2007-03-01,1,1,"Jakarta",2007
90002999,"Hire Employee","Fill vacancy","Batch & Furnace",2007-08-01,1,1,"Jakarta",2007
90003022,"Hire Employee","Fill vacancy","Machine Maintenance",2008-05-02,1,1,"Jakarta",2008
90003045,"Hire Employee","Fill vacancy","Purchasing",2009-11-01,1,1,"Jakarta",2009
90003045,"Hire Employee","Fill vacancy","Procurement",2009-11-01,1,1,"Jakarta",2009
90003086,"Hire Employee","Fill vacancy","Human Resources",2011-02-01,1,1,"Jakarta",2011
90003092,"Hire Employee","Fill vacancy","Machine Maintenance",2011-04-01,1,1,"Jakarta",2011
90003094,"Hire Employee","Fill vacancy","Human Resources",2011-05-01,1,1,"Jakarta",2011
90003098,"Hire Employee","Fill vacancy","Mechanical Engineering",2011-06-01,1,1,"Jakarta",2011
90003101,"Hire Employee","New position","Shift Operation ""D""",2011-06-01,1,1,"Jakarta",2011
90003102,"Hire Employee","New position","Shift Operation ""A""",2011-06-01,1,1,"Jakarta",2011
90003103,"Hire Employee","Fill vacancy","Mould Shop",2011-06-01,1,1,"Jakarta",2011
90003104,"Hire Employee","Fill vacancy","Inspection Packaging",2011-07-01,1,1,"Jakarta",2011
90003104,"Hire Employee","Fill vacancy","Inspection Packaging",2011-07-01,1,1,"Jakarta",2011
90003107,"Hire Employee","Fill vacancy","Quality Service",2011-08-01,1,1,"Jakarta",2011
90003109,"Hire Employee","Fill vacancy","Mould Shop",2011-09-01,1,1,"Jakarta",2011
90003111,"Hire Employee","Fill vacancy","Machine Maintenance",2011-09-01,1,1,"Jakarta",2011
90003111,"Hire Employee","Fill vacancy","Machine Maintenance",2011-09-01,1,1,"Jakarta",2011
90003112,"Hire Employee","Fill vacancy","Marketing & Sales",2011-10-01,1,1,"Jakarta",2011
90003116,"Hire Employee","Fill vacancy","Inspection Packaging",2011-12-01,1,1,"Jakarta",2011
90003118,"Hire Employee","Fill vacancy","Electrical",2012-01-01,1,1,"Jakarta",2012
90003124,"Hire Employee","Fill vacancy","Electrical",2012-04-01,1,1,"Jakarta",2012
90003131,"Hire Employee","Fill vacancy","Machine Maintenance",2012-06-01,1,1,"Jakarta",2012
90003132,"Hire Employee","Fill vacancy","Marketing & Sales",2012-08-01,1,1,"Jakarta",2012
90003133,"Hire Employee","Fill vacancy","Mechanical Engineering",2012-08-01,1,1,"Jakarta",2012
90003134,"Hire Employee","Fill vacancy","Line 22 Shift A",2012-09-01,1,1,"Jakarta",2012
90003135,"Hire Employee","Fill vacancy","Shift Operation ""B""",2012-09-01,1,1,"Jakarta",2012
90003136,"Hire Employee","Fill vacancy","Shift Operation ""C""",2012-09-01,1,1,"Jakarta",2012
90003137,"Hire Employee","Fill vacancy","Electrical",2012-09-01,1,1,"Jakarta",2012
90003144,"Hire Employee","Fill vacancy","Job Change",2012-11-01,1,1,"Jakarta",2012
90003147,"Hire Employee","New position","Marketing & Sales",2013-04-01,1,1,"Jakarta",2013
90003150,"Hire Employee","New position","Distribution",2013-05-01,1,1,"Jakarta",2013
90003150,"Hire Employee","New position","Logistic & PPIC",2013-05-01,1,1,"Jakarta",2013
90003153,"Hire Employee","Fill vacancy","Production Planning Inventory Control",2013-06-01,1,1,"Jakarta",2013
90003156,"Hire Employee","New position","Manufacturing Process Capability Program",2013-07-01,1,1,"Jakarta",2013
90003157,"Hire Employee","New position","Manufacturing Process Capability Program",2013-08-01,1,1,"Jakarta",2013
90003158,"Hire Employee","New position","PT Kangar Consolidated Industries",2013-09-01,1,1,"Jakarta",2013
90003160,"Hire Employee","Fill vacancy","Line 12 Shift C",2013-09-01,1,1,"Jakarta",2013
90003162,"Hire Employee","Fill vacancy","Mould Shop",2013-09-01,1,1,"Jakarta",2013
90003163,"Hire Employee","Fill vacancy","Finance",2013-10-01,1,1,"Jakarta",2013
90003164,"Hire Employee","Fill vacancy","Line 21 Shift A",2013-11-01,1,1,"Jakarta",2013
90003165,"Hire Employee","Fill vacancy","Mechanical Engineering",2013-11-01,1,1,"Jakarta",2013
90003165,"Hire Employee","Fill vacancy","Mechanical Engineering",2013-11-01,1,1,"Jakarta",2013
90003166,"Hire Employee","Fill vacancy","Plant Reliability",2014-01-01,1,1,"Jakarta",2014
90003167,"Hire Employee","Fill vacancy","Mechanical Engineering",2014-01-01,1,1,"Jakarta",2014
90003168,"Hire Employee","Fill vacancy","Quality Service",2014-01-01,1,1,"Jakarta",2014
90003169,"Hire Employee","Fill vacancy","Quality Service",2014-01-01,1,1,"Jakarta",2014
90003169,"Hire Employee","Fill vacancy","Quality Service",2014-01-01,1,1,"Jakarta",2014
90003170,"Hire Employee","Fill vacancy","Job Change",2014-01-01,1,1,"Jakarta",2014
90003171,"Hire Employee","Fill vacancy","Line 24 Shift C",2014-01-01,1,1,"Jakarta",2014
90003172,"Hire Employee","Fill vacancy","Line 14 Shift D",2014-01-01,1,1,"Jakarta",2014
90003173,"Hire Employee","Fill vacancy","Line 12 Shift B",2014-01-01,1,1,"Jakarta",2014
90003173,"Hire Employee","Fill vacancy","Line 12 Shift B",2014-01-01,1,1,"Jakarta",2014
90003174,"Hire Employee","Fill vacancy","Machine Maintenance",2014-02-01,1,1,"Jakarta",2014
