"pers_no","action_type","reason_for_action","organizational_unit","date","turnover","turn_abs","location","years"
667,"Auto Terminations","Dismissal","Batch & Furnace",2002-11-02,-1,1,"Sydney",2002
669,"Auto Terminations","Retirement","Cold End C Shift",2007-08-04,-1,1,"Brisbane",2007
670,"Auto Terminations","Retirement","D Shift",2013-04-01,-1,1,"Brisbane",2013
673,"Auto Terminations","Resignation","Distribution",2012-12-01,-1,1,"Melbourne",2012
675,"Auto Terminations","Retrenchment(2008+)","Sales & Marketing O-I Australia",2017-07-08,-1,1,"Melbourne",2017
676,"Auto Terminations","Resignation","Forming",2005-01-01,-1,1,"Adelaide",2005
678,"Termination (HR checklist)","Retirement (age)","Human Resources O-I Asia Pacific",2017-01-01,-1,1,"Melbourne",2017
680,"Auto Terminations","Retirement","Manufacturing Support",2008-08-30,-1,1,"Melbourne",2008
682,"Auto Terminations","Retirement","Marketing",2007-12-01,-1,1,"Melbourne",2007
691,"Auto Terminations","Resignation","Human Resources O-I Asia Pacific",2013-12-21,-1,1,"Melbourne",2013
692,"Auto Terminations","Retirement","Customer Services",2009-03-07,-1,1,"Melbourne",2009
694,"Auto Terminations","Resignation","Human Resources",2002-03-16,-1,1,"Brisbane",2002
695,"Auto Terminations","Retirement","Applications",2011-02-05,-1,1,"Melbourne",2011
698,"Auto Terminations","Resignation","Plant Engineering",2006-01-06,-1,1,"Melbourne",2006
700,"Auto Terminations","Retirement","Risk Management",2016-11-01,-1,1,"Melbourne",2016
704,"Auto Terminations","Resignation","Human Resources",2004-11-20,-1,1,"Adelaide",2004
706,"Termination (HR checklist)","Contract Expired","Business Services",2004-09-02,-1,1,"Melbourne",2004
707,"Auto Terminations","Retrenchment(2008+)","Business Services",2013-09-26,-1,1,"Brisbane",2013
710,"Auto Terminations","Retrenchment(2008+)","Customer Technical Services Australia",2013-07-06,-1,1,"Other",2013
718,"Auto Terminations","Resignation","Sales & Marketing O-I Australia",2014-10-01,-1,1,"Melbourne",2014
719,"Auto Terminations","Retrenchment(2008+)","Occupational Health & Safety",2013-12-21,-1,1,"Melbourne",2013
720,"Auto Terminations","Dismissal","Human Resources",2004-06-01,-1,1,"Melbourne",2004
721,"Auto Terminations","Resignation","Distribution - Victoria",2017-04-30,-1,1,"Melbourne",2017
722,"Auto Terminations","Resignation","Financial Operations",2011-10-29,-1,1,"Melbourne",2011
723,"Auto Terminations","Resignation","Forming",2002-03-01,-1,1,"Adelaide",2002
724,"Auto Terminations","Retrenchment(2008+)","ANZ Planning",2017-10-01,-1,1,"Melbourne",2017
725,"Auto Terminations","Resignation","Facilities Advancement",2013-07-16,-1,1,"Melbourne",2013
726,"Auto Terminations","Resignation","Applications",2013-07-13,-1,1,"Melbourne",2013
727,"Termination (HR checklist)","Retrenchment","Business Services",2004-02-13,-1,1,"Other",2004
728,"Auto Terminations","Retirement","Plant Engineering",2011-09-01,-1,1,"Melbourne",2011
729,"Auto Terminations","Resignation","Manufacturing",2005-11-26,-1,1,"Brisbane",2005
734,"Auto Terminations","Dismissal","Commercial",2011-11-01,-1,1,"Melbourne",2011
738,"Auto Terminations","Resignation","Corporate Accounting",2011-07-16,-1,1,"Melbourne",2011
740,"Auto Terminations","Resignation","Regional Integrated Operations",2014-09-01,-1,1,"Melbourne",2014
744,"Auto Terminations","Resignation","Customer Technical Services",2005-03-25,-1,1,"Melbourne",2005
747,"Auto Terminations","Retirement","Product & Mould Design",2007-08-01,-1,1,"Melbourne",2007
752,"Auto Terminations","Retrenchment(2008+)","Facilities Advancement",2013-06-29,-1,1,"Melbourne",2013
